MENU_HINT,EVENT_NAME,Name,WIN_LOSE,age,weight,jockey,trainer,ratings,form,race_surface,race_runners,race_going,race_distance,race_class,race_ages,non_runners
Curragh 1st Jul,1m2f Hcap,Goodie Two Shoes,0,4,150,Rachael Blackmore,J P OBrien,95.0,117.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,6f Grp 2,Do It With Style,0,2,128,G M Ryan,Donnacha OBrien,,10.0,Turf,7,Good (Good to Yielding in places),1320,1.0,2,
Curragh 1st Jul,7f Mdn,Galen,0,2,131,D McMonagle,J P OBrien,,,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,2m Hcap,Dartan,1,6,128,D P McDonogh,M J Smith,79.0,347117.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,2m Hcap,Extensio,0,6,119,Siobhan Rutledge,P F ODonnell,69.0,124202.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,2m Hcap,Kendancer,0,7,126,J Kearney,C Byrnes,77.0,145675.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,1m Mdn,Reclaim,0,3,134,B M Coen,J Feane,,,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,1m2f Grp 1,Rosscarbery,0,5,136,W J Lee,P Twomey,110.0,12451.0,Turf,9,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,6f Hcap,Greek Flower,0,4,119,L F Roche,J Feane,71.0,236302.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,1m Mdn,Space Age,0,3,134,D McMonagle,J J Murphy,80.0,362.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,7f Mdn,School Of Law,0,2,131,W J Lee,M OCallaghan,,2.0,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,7f Mdn,Badda Bing,0,2,131,A J Slattery,A Slattery,,,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,1m Mdn,Neowise,0,3,129,N M Crosse,Mrs J Harrington,,28.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,6f Hcap,Coumshingaun,1,4,121,N M Crosse,Kevin Coleman,74.0,423.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,1m2f Hcap,Alanya,1,4,132,Amy Jo Hayes,T Gibney,77.0,215.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,2m Hcap,Crystal Caves,0,4,119,J A Powell,T Gibney,69.0,565414.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,1m2f Hcap,Charcor,0,9,139,A Satabin,M Brassil,84.0,128029.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,1m2f Grp 1,Never Ending Story,0,3,126,W M Lordan,A P OBrien,110.0,343152.0,Turf,9,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,1m2f Grp 1,Goldana,0,4,136,D McMonagle,J P OBrien,104.0,132114.0,Turf,9,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,1m2f Hcap,Draco Pulchrac,0,5,122,Emily Finnegan,A J Martin,67.0,31186.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,1m Mdn,Ghost Dance,0,3,129,W J Lee,A Oliver,,,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,1m Mdn,Gardone,0,3,134,N G McCullagh,Charles Weld,,8.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,6f Hcap,Dream Today,0,8,127,C J MacRedmond,A McGuinness,80.0,133035.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,1m2f Grp 3,Layfayette,0,6,135,C D Hayes,N Meade,109.0,732341.0,Turf,5,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,1m Mdn,Pittsford,0,3,134,R P Whelan,M Halford  T Collins,,7.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,6f Grp 2,Ashwiyaa,0,2,128,D P McDonogh,M OCallaghan,,32.0,Turf,7,Good (Good to Yielding in places),1320,1.0,2,
Curragh 1st Jul,1m Mdn,Pink Sorrel,1,3,129,G F Carroll,J G Murphy,81.0,380.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,2m Hcap,Kingswear,0,6,135,J M Sheridan,D Hogan,86.0,732676.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,1m Mdn,Capernoity,0,3,134,D W OConnor,J F Levins,,9.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,6f Hcap,Gabriellas Spirit,0,4,121,C D Hayes,K J Condon,74.0,771916.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,6f Grp 2,Grand Job,0,2,128,D McMonagle,J P OBrien,,2.0,Turf,7,Good (Good to Yielding in places),1320,1.0,2,
Curragh 1st Jul,1m Mdn,Parish Centre,0,3,134,R P Cleary,J S Bolger,75.0,805.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,6f Grp 2,Gunzburg,0,2,128,W J Lee,P Twomey,,41.0,Turf,7,Good (Good to Yielding in places),1320,1.0,2,
Curragh 1st Jul,6f Hcap,Hallowed Time,0,5,122,D P McDonogh,Eoghan ONeill,75.0,90204.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,1m2f Hcap,Coill Na Sionainne,0,7,131,Jessica Maye,W McCreery,76.0,970742.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,1m2f Hcap,Higher Kingdom,0,6,138,Siobhan Rutledge,J C McConnell,83.0,813177.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,6f Hcap,Heavenly Power,0,5,123,B M Coen,E Lynam,76.0,260150.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,6f Hcap,Gordon Bennett,0,5,140,G F Carroll,R Brabazon,93.0,811515.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,2m Hcap,Grappa Nonino,0,4,119,C D Hayes,D K Weld,67.0,406421.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,7f Mdn,Auguste Lumiere,0,2,131,R P Cleary,J S Bolger,,,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,1m2f Grp 3,Mashhoor,1,5,135,B M Coen,J P Murtagh,105.0,410011.0,Turf,5,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,1m2f Grp 1,Insinuendo,0,6,136,D P McDonogh,W McCreery,105.0,37143.0,Turf,9,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,1m2f Grp 3,Al Riffa,0,3,130,D McMonagle,J P OBrien,114.0,211.0,Turf,5,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,2m Hcap,Almuhit,0,4,138,J A Heffernan,D Hogan,89.0,123002.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,1m Mdn,Beyond The Steps,0,3,134,S Foley,Mrs J Harrington,,7.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,1m2f Grp 1,Via Sistina,1,5,136,J P Spencer,G Boughey,115.0,104211.0,Turf,9,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,1m Mdn,Highland Rahy,0,3,134,J M Sheridan,J A Stack,82.0,4035.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,7f Mdn,Burn The Bridges,0,2,131,B M Coen,J P Murtagh,,,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,2m Hcap,Magellan Strait,0,4,140,M P Sheehy,J P OBrien,91.0,612108.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,2m Hcap,Foveros,0,8,129,W M Lordan,W P Mullins,80.0,12000.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,1m2f Hcap,Pachmena,0,6,127,Julie Burke,G P Cromwell,72.0,244642.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,1m2f Hcap,Longbourn,0,7,143,Miss J Townend,R OSullivan,88.0,322003.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,7f Mdn,Rapid Mission,0,2,131,S Foley,J P OBrien,,,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,2m Hcap,Immelmann,0,5,127,G F Carroll,W P Mullins,78.0,3283.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,1m2f Grp 3,Self Belief,0,4,135,W J Lee,W McCreery,105.0,15134.0,Turf,5,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,7f Mdn,Truly Kodi,0,2,131,R C Colgan,S Lavery,,,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,2m Hcap,Marvelosa,0,4,124,D McMonagle,R OBrien,75.0,744213.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,6f Hcap,Song For Whoever,0,3,128,J Kearney,John ODonoghue,87.0,281106.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,7f Mdn,Koniag,0,2,131,D P McDonogh,K P Cotter,,,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,1m2f Hcap,Lord Vader,0,4,127,Miss S Ahern,E Mullins,72.0,232604.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,1m Mdn,Hot Moon,0,3,134,D N Curran,J G Coogan,,6.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,1m2f Hcap,Dancing Tango,0,4,144,Miss M OSullivan,J P OBrien,89.0,521451.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
